date,experiment,model,rmse_cv_mean,rmse_cv_std,dataset_version,dataset_shape,target_variable,features_cat,features_num,random_state,n_folds,rmse_cv,r2_score_cv,rmsle_cv,mape_cv,evs_cv
Fri Aug 12 13:42:02 2022,Hello world!,LinearRegression(),0.761,0.215,https://drive.google.com/uc?id=19ERs5bmAdxEfgUmTxgfIBhUoT6xPHzZy,"(9408, 42)",Est_Cost_Infl_log10,"['Permit Type', 'Proposed Construction Type', 'Neighborhoods - Analysis Boundaries']","['Number of Proposed Stories', 'Duration_construction_days', 'Plansets', 'Year']",0,4,[0.62227178 0.58430121 0.71270858 1.1249365 ],[ 0.00987349 -0.05039554  0.15975915  0.14867274],[0.09788374 0.11752176 0.13512071 0.32539778],[0.06800898 0.1236296  0.16276262 2.80184332],[ 0.01374036 -0.04948003  0.25230313  0.15069958]
Fri Aug 12 13:42:53 2022,Hello world!,LinearRegression(),0.761,0.215,https://drive.google.com/uc?id=19ERs5bmAdxEfgUmTxgfIBhUoT6xPHzZy,"(9408, 42)",Est_Cost_Infl_log10,"['Permit Type', 'Proposed Construction Type', 'Neighborhoods - Analysis Boundaries']","['Number of Proposed Stories', 'Duration_construction_days', 'Plansets', 'Year']",0,4,[0.62227178 0.58430121 0.71270858 1.1249365 ],[ 0.00987349 -0.05039554  0.15975915  0.14867274],[0.09788374 0.11752176 0.13512071 0.32539778],[0.06800898 0.1236296  0.16276262 2.80184332],[ 0.01374036 -0.04948003  0.25230313  0.15069958]
Fri Aug 12 13:42:54 2022,Hello world!,"ElasticNet(alpha=0.0005, l1_ratio=0.9, random_state=0)",0.758,0.22,https://drive.google.com/uc?id=19ERs5bmAdxEfgUmTxgfIBhUoT6xPHzZy,"(9408, 42)",Est_Cost_Infl_log10,"['Permit Type', 'Proposed Construction Type', 'Neighborhoods - Analysis Boundaries']","['Number of Proposed Stories', 'Duration_construction_days', 'Plansets', 'Year']",0,4,[0.62113471 0.57751691 0.70282395 1.13109938],[ 0.01348868 -0.02614496  0.1829043   0.13931932],[0.09749505 0.11670908 0.13385383 0.32628683],[0.06810922 0.12025744 0.16140097 2.82011555],[ 0.01649447 -0.02409756  0.28010688  0.14039372]
Fri Aug 12 13:45:41 2022,Hello world!,"KernelRidge(alpha=0.6, coef0=2.5, degree=2, kernel='polynomial')",0.83,0.225,https://drive.google.com/uc?id=19ERs5bmAdxEfgUmTxgfIBhUoT6xPHzZy,"(9408, 42)",Est_Cost_Infl_log10,"['Permit Type', 'Proposed Construction Type', 'Neighborhoods - Analysis Boundaries']","['Number of Proposed Stories', 'Duration_construction_days', 'Plansets', 'Year']",0,4,[0.95894284 0.55430006 0.68138295 1.12688731],[-1.35134262  0.0547011   0.23199802  0.14571751],[       nan 0.11479577 0.1327385  0.32842152],[0.06788146 0.12086693 0.16288404 2.8944691 ],[-1.33511317  0.07396299  0.32067738  0.1527771 ]
Fri Aug 12 13:55:10 2022,Hello world!,"LGBMRegressor(bagging_fraction=0.8, bagging_freq=5, bagging_seed=9,
              feature_fraction=0.2319, feature_fraction_seed=9,
              learning_rate=0.05, max_bin=55, min_data_in_leaf=6,
              min_sum_hessian_in_leaf=11, n_estimators=720, num_leaves=5,
              objective='regression')",0.662,0.242,https://drive.google.com/uc?id=19ERs5bmAdxEfgUmTxgfIBhUoT6xPHzZy,"(9408, 42)",Est_Cost_Infl_log10,"['Permit Type', 'Proposed Construction Type', 'Neighborhoods - Analysis Boundaries']","['Number of Proposed Stories', 'Duration_construction_days', 'Plansets', 'Year']",0,4,[0.46698887 0.50782926 0.59928965 1.07266024],[0.44237333 0.20655881 0.40590847 0.22595735],[0.0762818  0.10854707 0.12515718 0.32196292],[0.05631289 0.10974554 0.15476638 2.78443865],[0.44329138 0.20715248 0.4060414  0.23240977]
Mon Aug 15 14:12:53 2022,Trial with new features - LI!,LinearRegression(),0.932,0.328,https://drive.google.com/uc?id=19ERs5bmAdxEfgUmTxgfIBhUoT6xPHzZy,"(9408, 42)",Est_Cost_Infl_log10,"['Proposed Construction Type', 'Description']","['Permit Type', 'Proposed Units', 'Duration_construction_days', 'Year', 'Number of Proposed Stories', 'Proposed Construction Type', 'Supervisor District', 'Zipcode']",0,4,[1.39382971 0.58912184 0.65726088 1.08890377],[-3.96763768 -0.0677991   0.28541255  0.20233685],[0.08953041        nan 0.13208836        nan],[0.06135481 0.11867272 0.16584051 2.68250735],[-3.91289434 -0.01566746  0.37628529  0.20233889]
Mon Aug 15 14:13:18 2022,Trial with new features - LI!,"Lasso(alpha=0.0005, random_state=0)",0.723,0.225,https://drive.google.com/uc?id=19ERs5bmAdxEfgUmTxgfIBhUoT6xPHzZy,"(9408, 42)",Est_Cost_Infl_log10,"['Proposed Construction Type', 'Description']","['Permit Type', 'Proposed Units', 'Duration_construction_days', 'Year', 'Number of Proposed Stories', 'Proposed Construction Type', 'Supervisor District', 'Zipcode']",0,4,[0.62567944 0.55792645 0.5963239  1.11044433],[-0.00100039  0.04229181  0.41177397  0.17046617],[0.07704368 0.11453425 0.12430034 0.32548887],[0.05478342 0.11788322 0.14963035 2.82941275],[0.00573279 0.04554086 0.4117967  0.17646148]
Mon Aug 15 14:16:43 2022,Trial with new features - LI!,"XGBRegressor(colsample_bytree=0.4603, gamma=0.0468, learning_rate=0.05,
             min_child_weight=1.7817, n_estimators=2200, nthread=-1,
             reg_alpha=0.464, reg_lambda=0.8571, silent=1, subsample=0.5213)",0.579,0.256,https://drive.google.com/uc?id=19ERs5bmAdxEfgUmTxgfIBhUoT6xPHzZy,"(9408, 42)",Est_Cost_Infl_log10,"['Proposed Construction Type', 'Description']","['Permit Type', 'Proposed Units', 'Duration_construction_days', 'Year', 'Number of Proposed Stories', 'Proposed Construction Type', 'Supervisor District', 'Zipcode']",0,4,[0.36848687 0.44545066 0.48683109 1.01618927],[0.65280417 0.38951007 0.60795454 0.3053121 ],[0.05670922 0.10259365 0.11025891 0.313535  ],[0.0402299  0.09859243 0.12146063 2.61012922],[0.65433056 0.38986643 0.60816235 0.31541085]
Mon Aug 15 14:16:50 2022,Trial with new features - LI!,"LGBMRegressor(bagging_fraction=0.8, bagging_freq=5, bagging_seed=9,
              feature_fraction=0.2319, feature_fraction_seed=9,
              learning_rate=0.05, max_bin=55, min_data_in_leaf=6,
              min_sum_hessian_in_leaf=11, n_estimators=720, num_leaves=5,
              objective='regression')",0.601,0.253,https://drive.google.com/uc?id=19ERs5bmAdxEfgUmTxgfIBhUoT6xPHzZy,"(9408, 42)",Est_Cost_Infl_log10,"['Proposed Construction Type', 'Description']","['Permit Type', 'Proposed Units', 'Duration_construction_days', 'Year', 'Number of Proposed Stories', 'Proposed Construction Type', 'Supervisor District', 'Zipcode']",0,4,[0.4082555  0.44183348 0.52151862 1.03286221],[0.57381852 0.3993845  0.55009641 0.28232916],[0.06734828 0.10256666 0.11800807 0.31744701],[0.04517909 0.09909933 0.13934923 2.70364912],[0.57395994 0.39939455 0.55019075 0.28976118]
Mon Aug 15 14:20:17 2022,Trial with new features - LI!,LinearRegression(),0.892,0.357,https://drive.google.com/uc?id=19ERs5bmAdxEfgUmTxgfIBhUoT6xPHzZy,"(9408, 43)",Est_Cost_Infl_log10,"['Proposed Construction Type', 'Description', 'Number of Proposed Stories_cat']","['Permit Type', 'Proposed Units', 'Duration_construction_days', 'Year', 'Proposed Construction Type', 'Supervisor District', 'Zipcode']",0,4,[1.38805791 0.52556606 0.58047216 1.07438546],[-3.92658121  0.15016634  0.44263127  0.22346547],[0.08469459 0.11528714 0.12273502        nan],[0.05350045 0.10909153 0.14741199 2.66048173],[-3.91211349  0.16486706  0.44392893  0.22353857]
